,Unnamed: 0,Date,USD..PM.,differences,log_differences,volatility,log_volatility,mu,sigma,cumulative_mu,sigma_hat,NA_row,weekend
0,1,2016-09-11,,,,,,,,,,True,True
1,2,2016-09-12,1324.6,,,0.0,,,0.0,0.0,0.0,True,False
2,3,2016-09-13,1323.65,-0.0717712386204675,-0.0007174549538375,0.0,,-0.0007171976445717876,0.0,0.0,0.0,False,False
3,4,2016-09-14,1321.75,-0.143748817855123,-0.0014364559814817,0.0004146686255964843,0.0005084105023273,-0.0014354247724096547,0.0004146686255964843,-0.00034645579338309107,0.0004146686255964843,False,False
4,5,2016-09-15,1310.8,-0.835367714372905,-0.0083189782909,0.005103260482406544,0.0048666781966573,-0.008284471344808031,0.005103260482406544,-0.0007798985185333559,0.005103260482406544,False,False
5,6,2016-09-16,1308.35,-0.187258761034895,-0.0018708365038957,0.002921371688189929,0.0045595247836431,-0.0018690875801037343,0.002921371688189929,-0.003025100509369457,0.002921371688189929,False,False
6,7,2016-09-17,,,,,,0.0,0.0,0.0,0.0,True,True
7,8,2016-09-18,,,,,,0.0,0.0,0.0,0.0,True,True
8,9,2016-09-19,1314.85,0.164784322673055,-1.09365649932437,0.006567616362628193,0.772009045782609,0.00496808957847672,0.006567616362628193,-0.0022292745168945435,0.006567616362628193,False,False
9,10,2016-09-20,1313.8,-0.0799208403105461,-0.0007988892061283,0.003199422212638446,0.772767026985935,-0.0007985701791078936,0.003199422212638446,-0.001181601019400221,0.003199422212638446,False,False
10,11,2016-09-21,1326.1,0.927531860342354,0.0093186022251807,0.009765108528306532,0.0071541467996754,0.009362155579235809,0.009765108528306532,-0.0011791702148452,0.009765108528306532,False,False
11,12,2016-09-22,1339.1,0.970801284444776,0.0097554428179671,0.009669842170230415,0.0003088929454568,0.009803182263780963,0.009669842170230415,0.00016145392356674366,0.009669842170230415,False,False
12,13,2016-09-23,1338.65,-0.0336159563739452,-0.0003361030747725,0.004935537034003927,0.0071358005334114,-0.00033604659846153684,0.004935537034003927,0.0013319022615277186,0.004935537034003927,False,False
13,14,2016-09-24,,,,,,0.0,0.0,0.0,0.0,True,True
14,15,2016-09-25,,,,,,0.0,0.0,0.0,0.0,True,True
15,16,2016-09-26,1340.5,0.0460027352977722,-1.09723125341884,0.004314008925148884,0.77562199905893,0.001381989317595922,0.004314008925148884,0.0010330550849475312,0.004314008925148884,False,False
16,17,2016-09-27,1327.0,-1.01733232856066,-0.0101219233438065,0.011036623756111521,0.768702379187224,-0.010070869078702027,0.011036623756111521,0.0010936633729880204,0.011036623756111521,False,False
17,18,2016-09-28,1322.5,-0.340264650283554,-0.003396870599753,0.005807206493472137,0.0047553303991573,-0.0033911077618689056,0.005807206493472137,0.00017081450334867373,0.005807206493472137,False,False
18,19,2016-09-29,1318.1,-0.333813822926947,-0.0033325790140345,0.005610467849319904,4.54610162348366e-05,-0.0033270321361059674,0.005610467849319904,-0.00011169824124532763,0.005610467849319904,False,False
19,20,2016-09-30,1322.5,0.332703213610593,0.0033325790140344,0.005761465130901418,0.0047129784393275,0.0033381382292694273,0.005761465130901418,-0.00035958549674074884,0.005761465130901418,False,False
20,21,2016-10-01,,,,,,0.0,0.0,0.0,0.0,True,True
21,22,2016-10-02,,,,,,0.0,0.0,0.0,0.0,True,True
22,23,2016-10-03,1313.3,-0.233508464681846,-1.10559311980945,0.007890287252305804,0.784128881470117,-0.006956521739130417,0.007890287252305804,-9.065787825856973e-05,0.007890287252305804,False,False
23,24,2016-10-04,1283.3,-2.33772305774176,-0.0231081683406989,0.021915543832268212,0.765432449715944,-0.02284321937105005,0.021915543832268212,-0.0005250395128012316,0.021915543832268212,False,False
24,25,2016-10-05,1269.4,-1.09500551441625,-0.0108905373780455,0.010986393473969465,0.0086391697037269,-0.010831450167536727,0.010986393473969465,-0.0018825186393028137,0.010986393473969465,False,False
25,26,2016-10-06,1254.5,-1.18772419290555,-0.0118072610658929,0.011473737183057449,0.0006482215361512,-0.011737828895541313,0.011473737183057449,-0.002435098147886957,0.011473737183057449,False,False
26,27,2016-10-07,1258.75,0.337636544190665,0.0033820782262949,0.008516596345026547,0.0107404848152493,0.0033878039059385134,0.008516596345026547,-0.002995691917634237,0.008516596345026547,False,False
27,28,2016-10-08,,,,,,0.0,0.0,0.0,0.0,True,True
28,29,2016-10-09,,,,,,0.0,0.0,0.0,0.0,True,True
29,30,2016-10-10,1259.5,0.0198491464867011,-1.09801663690822,0.0067652870123665314,0.778806500261764,0.000595829195630504,0.0067652870123665314,-0.0025164952733840685,0.0067652870123665314,False,False
30,31,2016-10-11,1253.45,-0.48266783677051,-0.004815067302601,0.006894599056736423,0.773010243071909,-0.004803493449781593,0.006894599056736423,-0.0024038294491595916,0.006894599056736423,False,False
31,32,2016-10-12,1256.5,0.242737763629125,0.002430328493583,0.007445259784352537,0.0051232684998622,0.002433284135785252,0.007445259784352537,-0.0025508431187284625,0.007445259784352537,False,False
32,33,2016-10-13,1261.05,0.360810435747984,0.0036146292657687,0.008019511461184905,0.0008374271069769,0.0036211699164345745,0.008019511461184905,-0.0023609314331743524,0.008019511461184905,False,False
33,34,2016-10-14,1251.75,-0.742959856201315,-0.0074021350393613,0.008295086990291781,0.0077900287468913,-0.007374806708695059,0.008295086990291781,-0.0021303631341553714,0.008295086990291781,False,False
34,35,2016-10-15,,,,,,0.0,0.0,0.0,0.0,True,True
35,36,2016-10-16,,,,,,0.0,0.0,0.0,0.0,True,True
36,37,2016-10-17,1254.8,0.0810222080544032,-1.09617866356164,0.007127327463471897,0.769881266514852,0.002436588775714066,0.007127327463471897,-0.0022497111148204922,0.007127327463471897,False,False
37,38,2016-10-18,1258.2,0.270227308853926,0.0027059308194062,0.007179387536116652,0.777028748428267,0.002709595154606337,0.007179387536116652,-0.002093472438091026,0.007179387536116652,False,False
38,39,2016-10-19,1269.05,0.854970253339105,0.008586460905486,0.011378673863128156,0.0041581627008385,0.008623430297249879,0.011378673863128156,-0.0019350452028298343,0.011378673863128156,False,False
39,40,2016-10-20,1271.65,0.204458774033746,0.0020466807632506,0.006736965392238946,0.0046243228860437,0.002048776643946315,0.006736965392238946,-0.0015649894299697637,0.006736965392238946,False,False
